objectid,personid,title,person_name,birth_year,residence,origin,occupation,image_filename,image_large,person_link,display_template,image_small,image_thumb,connected_objectid
adair_ione,,Ione Adair,"Adair, Ione",1883,Moscow; Bovill; Fortynine Meadows,Parents came from Oregon and Indiana (1893); family lived in the McConnell mansion (1900-36),County assessor; teacher; postal clerk; timber homesteader,Adair-I_10.jpg,https://objects.lib.uidaho.edu/lcoh/Adair-I_10_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/adair_ione.html,person,https://objects.lib.uidaho.edu/lcoh/small/Adair-I_10.jpg,https://objects.lib.uidaho.edu/lcoh/small/Adair-I_10.jpg,
anderson_ernest,,Ernest Anderson,"Anderson, Ernest",1902,Burnt Ridge; Troy,Parents emigrated from Sweden and settled in the late nineties. Helen Anderson's husband,Farmer,Anderson-E_04.jpg,https://objects.lib.uidaho.edu/lcoh/Anderson-E_04_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/anderson_ernest.html,person,https://objects.lib.uidaho.edu/lcoh/small/Anderson-E_04.jpg,https://objects.lib.uidaho.edu/lcoh/small/Anderson-E_04.jpg,
anderson_helen,,Helen Kellberg Anderson,"Anderson, Helen Kellberg",1904,Burnt Ridge; Troy,Parents were Swedish settlers who came via Missouri (1906),Farm wife,Anderson-He_01.jpg,https://objects.lib.uidaho.edu/lcoh/Anderson-He_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/anderson_helen.html,person,https://objects.lib.uidaho.edu/lcoh/small/Anderson-He_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Anderson-He_01.jpg,
benscoter_walter,,Walter Benscoter,"Benscoter, Walter",1898,American Ridge; Kendrick,Parents were homesteaders from Michigan (1885),Farmer,Benscoter-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/Benscoter-W_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/benscoter_walter.html,person,https://objects.lib.uidaho.edu/lcoh/small/Benscoter-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Benscoter-W_01.jpg,
bjerke_arthur,,Arthur Bjerke,"Bjerke, Arthur",1886,Brush Creek; Deary,"Came from Norway with family, who homesteaded in 1891",Farmer; carpenter; logger,Bjerke-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/Bjerke-A_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/bjerke_arthur.html,person,https://objects.lib.uidaho.edu/lcoh/small/Bjerke-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Bjerke-A_01.jpg,
boas_louis,,Louis Boas,"Boas, Louis",1900,Moscow,Came from Boise to attend the university,Editor of Moscow Daily Star-Mirror and Daily Idahonian (1926-1966),Boas-L_01.jpg,https://objects.lib.uidaho.edu/lcoh/Boas-L_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/boas_louis.html,person,https://objects.lib.uidaho.edu/lcoh/small/Boas-L_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Boas-L_01.jpg,
borah_mary,,Mary McConnell Borah,"Borah, Mary McConnell",1870,Moscow; Washington;D.C.,"William J. McConnell, her father, first came in 1879 from the Boise Basin and was elected Idaho governor (1892); she came with her mother from Oregon (1888)",Wife of Idaho Senator William Borah,Borah-M_01.jpg,https://objects.lib.uidaho.edu/lcoh/Borah-M_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/borah_mary.html,person,https://objects.lib.uidaho.edu/lcoh/small/Borah-M_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Borah-M_01.jpg,
brink_carol,,Carol Ryrie Brink,"Brink, Carol Ryrie",1895,Moscow,Grandfather was a Moscow doctor (1887) trained in Missouri; Father came from Scotland (1889),Novelist; homemaker. Caddie Woodlawn won the Newberry Award; Buffalo Coat; Snow in the River and Strangers in the Forest are filled with detail about early local life,Brink-C_02.jpg,https://objects.lib.uidaho.edu/lcoh/Brink-C_02_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/brink_carol.html,person,https://objects.lib.uidaho.edu/lcoh/small/Brink-C_02.jpg,https://objects.lib.uidaho.edu/lcoh/small/Brink-C_02.jpg,
brocke_frank,,Frank Brocke,"Brocke, Frank",1906,Troy; American Ridge; Kendrick,"Parents' families came from Germany; father was born at Genesee, mother in Kansas",President of First Bank of Troy; where he worked for forty-seven years; chairman of school board,Brocke-F_02.jpg,https://objects.lib.uidaho.edu/lcoh/Brocke-F_02_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/brocke_frank.html,person,https://objects.lib.uidaho.edu/lcoh/small/Brocke-F_02.jpg,https://objects.lib.uidaho.edu/lcoh/small/Brocke-F_02.jpg,
butterfield_edna,,Edna Johnson Butterfield,"Butterfield, Edna Johnson",1890,Woodfell; Princeton,Family came from Michigan (1888),Farm wife,Butterfield_01.jpg,https://objects.lib.uidaho.edu/lcoh/Butterfield_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/butterfield_edna.html,person,https://objects.lib.uidaho.edu/lcoh/small/Butterfield_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Butterfield_01.jpg,
byers_fannie,,Fannie Cuthbert Byers,"Byers, Fannie Cuthbert",1893,Fourmile Creek; Viola,"Parents were born in Scotland, came from Kansas and homesteaded (1888)",Farm wife; pea processor; harvest cook,Byers-F_01.jpg,https://objects.lib.uidaho.edu/lcoh/Byers-F_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/byers_fannie.html,person,https://objects.lib.uidaho.edu/lcoh/small/Byers-F_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Byers-F_01.jpg,
clyde_lola,,Lola Gamble Clyde,"Clyde, Lola Gamble",1900,Paradise Ridge; Moscow,"Father emigrated from Ireland and became the area's first Presbyterian minister (1880); mother was from Victoria, British Columbia",Teacher; farm wife; local historian; frequently addresses groups and aids researchers,Clyde-L_04.jpg,https://objects.lib.uidaho.edu/lcoh/Clyde-L_04_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/clyde_lola.html,person,https://objects.lib.uidaho.edu/lcoh/small/Clyde-L_04.jpg,https://objects.lib.uidaho.edu/lcoh/small/Clyde-L_04.jpg,
crow_ada,,Ada Hill Crow,"Crow, Ada Hill",1880,Fourmile Creek; Viola,"Family moved from Junction City, Oregon and homesteaded (1887)",Farm wife,Crow-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/Crow-A_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/crow_ada.html,person,https://objects.lib.uidaho.edu/lcoh/small/Crow-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Crow-A_01.jpg,
cushman_john,,John Cushman,"Cushman, John",,,n/a,n/a,Church-F_14.jpg,https://objects.lib.uidaho.edu/lcoh/Church-F_14_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/cushman_john.html,person,https://objects.lib.uidaho.edu/lcoh/small/Church-F_14.jpg,https://objects.lib.uidaho.edu/lcoh/small/Church-F_14.jpg,
diamantis_john,,John Diamantis,"Diamantis, John",1885,Elk River,"Emigrated from Klitsos, Greece in 1909",Sawmiller; logger,Diamantis-J_01.jpg,https://objects.lib.uidaho.edu/lcoh/Diamantis-J_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/diamantis_john.html,person,https://objects.lib.uidaho.edu/lcoh/small/Diamantis-J_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Diamantis-J_01.jpg,
driscoll_jennie,,Jennie Halverson Driscoll,"Driscoll, Jennie Halverson",1888,Genesee; Lenville; Driscoll Ridge,Parents homesteaded after emigrating from Norway via Astoria (early 1880's),Farm wife,Driscoll-J_02.jpg,https://objects.lib.uidaho.edu/lcoh/Driscoll-J_02_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/driscoll_jennie.html,person,https://objects.lib.uidaho.edu/lcoh/small/Driscoll-J_02.jpg,https://objects.lib.uidaho.edu/lcoh/small/Driscoll-J_02.jpg,
fleener_dora,,Dora Otter Fleener,"Fleener, Dora Otter",1894,Rural Moscow,Family moved from South Dakota in 1902,Farm wife; housekeeper; author of Coming West from South Dakota,LCHS_Fleener_Easter.jpg,https://objects.lib.uidaho.edu/lcoh/LCHS_Fleener_Easter_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/fleener_dora.html,person,https://objects.lib.uidaho.edu/lcoh/small/LCHS_Fleener_Easter.jpg,https://objects.lib.uidaho.edu/lcoh/small/LCHS_Fleener_Easter.jpg,
flodin_elmer,,Elmer Flodin,"Flodin, Elmer",1899,Dry Ridge; Troy,Parents were Swedish homesteaders (early 1880's),Farmer; logger,Flodin-E_02.jpg,https://objects.lib.uidaho.edu/lcoh/Flodin-E_02_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/flodin_elmer.html,person,https://objects.lib.uidaho.edu/lcoh/small/Flodin-E_02.jpg,https://objects.lib.uidaho.edu/lcoh/small/Flodin-E_02.jpg,
goff_abe,,Abe MacGregor Goff,"Goff, Abe MacGregor",1899,Moscow; Washington; D.C.,"Moved to Moscow to attend university; father homesteaded near Rosalia,Wash",Lawyer; state legislator; U.S. Congressman; chairman of Interstate Commerce Commission,Goff-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/Goff-A_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/goff_abe.html,person,https://objects.lib.uidaho.edu/lcoh/small/Goff-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Goff-A_01.jpg,
jackson_alice,,Alice Henry Jackson,"Jackson, Alice Henry",1885,Lapwai,"Mother was Nez Perce; father moved from Asotin County, Washington (c.1890)",Farm wife,Jackson-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/Jackson-A_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/jackson_alice.html,person,https://objects.lib.uidaho.edu/lcoh/small/Jackson-A_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Jackson-A_01.jpg,
jelleberg_charles,,Charles Jelleberg,"Jelleberg, Charles",1900,Park,Parents were Norwegian homesteaders (c. 1890),Horse teamster; sawmiller,Jellberg-C_02.jpg,https://objects.lib.uidaho.edu/lcoh/Jellberg-C_02_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/jelleberg_charles.html,person,https://objects.lib.uidaho.edu/lcoh/small/Jellberg-C_02.jpg,https://objects.lib.uidaho.edu/lcoh/small/Jellberg-C_02.jpg,
johnson_clarence,,Clarence Johnson,"Johnson, Clarence",1895,Burnt Ridge; Troy,Parents were homesteaders from Sweden (1884),Farmer,Johnson-C_01.jpg,https://objects.lib.uidaho.edu/lcoh/Johnson-C_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/johnson_clarence.html,person,https://objects.lib.uidaho.edu/lcoh/small/Johnson-C_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Johnson-C_01.jpg,
johnson_walter,,Walter Johnson,"Johnson, Walter",1892,Moscow,Parents were Swedish immigrants who moved from Minnesota (1882),Accountant,Johnson-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/Johnson-W_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/johnson_walter.html,person,https://objects.lib.uidaho.edu/lcoh/small/Johnson-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Johnson-W_01.jpg,
jones_agnes,,Agnes Healy Jones,"Jones, Agnes Healy",1890,Thorn Creek; Genesee,"Mother's parents (Tierneys) were the first white settlers of the Genesee area,coming from Kansas in 1870; father emigrated from Ireland (early 1870s)",Farm wife; waitress,Jones-A_03.jpg,https://objects.lib.uidaho.edu/lcoh/Jones-A_03_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/jones_agnes.html,person,https://objects.lib.uidaho.edu/lcoh/small/Jones-A_03.jpg,https://objects.lib.uidaho.edu/lcoh/small/Jones-A_03.jpg,
kauder_william,,William Kauder,"Kauder, William",1868,Cedar Creek; Southwick,"Homesteaded alongside parents, after moving from Illinois (1889)",Farmer,Kauder-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/Kauder-W_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/kauder_william.html,person,https://objects.lib.uidaho.edu/lcoh/small/Kauder-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Kauder-W_01.jpg,
lew_miandmarie,,Mi & Marie Lee Lew,"Lew, Mi; Marie Lee",1910,Moscow,Came to Spokane from China in 1920,Restaurateur,Lew-Mi_06.jpg,https://objects.lib.uidaho.edu/lcoh/Lew-Mi_06_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/lew_miandmarie.html,person,https://objects.lib.uidaho.edu/lcoh/small/Lew-Mi_06.jpg,https://objects.lib.uidaho.edu/lcoh/small/Lew-Mi_06.jpg,
miller_john,,John B. Miller,"Miller, John B.",1912,Bovill,Parents came from Minnesota (1902),Geologist; author of The Trees Grew Tall (1972); Bovill area history,Miller-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/Miller-W_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/miller_john.html,person,https://objects.lib.uidaho.edu/lcoh/small/Miller-W_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Miller-W_01.jpg,
morgan_william,,William Morgan,"Morgan, William",1895,Lewiston and vicinity,Parents farmed near Nezperce after leaving Kansas (1898),Owner of Morgan Brothers; food and equipment distributors,Morgan-WM_01.jpg,https://objects.lib.uidaho.edu/lcoh/Morgan-WM_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/morgan_william.html,person,https://objects.lib.uidaho.edu/lcoh/small/Morgan-WM_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Morgan-WM_01.jpg,
nelson_elsie,,Elsie Nelson,"Nelson, Elsie",1890,Moscow,Parents were Swedish homesteaders (1886),Head cook at Hotel Moscow; teacher; author of Today Is Ours,Nelson-Els_01.jpg,https://objects.lib.uidaho.edu/lcoh/Nelson-Els_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/nelson_elsie.html,person,https://objects.lib.uidaho.edu/lcoh/small/Nelson-Els_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Nelson-Els_01.jpg,
olson_carl,,Carl Olson,"Olson, Carl",1895,Dry Ridge; Troy,Parents emigrated from Sweden and homesteaded (1889),Thresherman; operator of gas station and car dealership; sawmiller; miner; Troy councilman for 24 years,Olson-C_03.jpg,https://objects.lib.uidaho.edu/lcoh/Olson-C_03_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/olson_carl.html,person,https://objects.lib.uidaho.edu/lcoh/small/Olson-C_03.jpg,https://objects.lib.uidaho.edu/lcoh/small/Olson-C_03.jpg,
olson_oscarandhazel,,Oscar & Hazel Olson,"Olson, Oscar; Hazel",1920,Deary,Moved from central Idaho in the early forties,Homemaker; teacher; camp flunkey,LCHS_Olson_Oscar.jpg,https://objects.lib.uidaho.edu/lcoh/LCHS_Olson_Oscar_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/olson_oscarandhazel.html,person,https://objects.lib.uidaho.edu/lcoh/small/LCHS_Olson_Oscar.jpg,https://objects.lib.uidaho.edu/lcoh/small/LCHS_Olson_Oscar.jpg,
otness_lillian,,Lillian Woodworth Otness,"Otness, Lillian Woodworth",1908,Moscow,"Grandfather was an original founder of Moscow, moving from eastern Oregon (1871); father came from Montana (1877)",Teacher of English and physical education in college and high school; homemaker;,Otness-L_03.jpg,https://objects.lib.uidaho.edu/lcoh/Otness-L_03_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/otness_lillian.html,person,https://objects.lib.uidaho.edu/lcoh/small/Otness-L_03.jpg,https://objects.lib.uidaho.edu/lcoh/small/Otness-L_03.jpg,
sampson_clarice,,Clarice Moody Sampson,"Sampson, Clarice Moody",1894,Moscow,Parents came from Utah (1892),Homemaker; teacher; clerk at David's Store,Sampson-C_01.jpg,https://objects.lib.uidaho.edu/lcoh/Sampson-C_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/sampson_clarice.html,person,https://objects.lib.uidaho.edu/lcoh/small/Sampson-C_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Sampson-C_01.jpg,
sampson_harry,,Harry Sampson,"Sampson, Harry",1893,Moscow,Family came from Wisconsin in 1902,Manager of men's clothing department at David's Department Store for nearly forty years,Sampson-H_01.jpg,https://objects.lib.uidaho.edu/lcoh/Sampson-H_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/sampson_harry.html,person,https://objects.lib.uidaho.edu/lcoh/small/Sampson-H_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Sampson-H_01.jpg,
sanderson_john,,John Sanderson,"Sanderson, John",1884,Bovill,Byers Sanderson's brother,Maintenance man for Potlatch Lumber Company; photographer,Sanderson-J_01.jpg,https://objects.lib.uidaho.edu/lcoh/Sanderson-J_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/sanderson_john.html,person,https://objects.lib.uidaho.edu/lcoh/small/Sanderson-J_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Sanderson-J_01.jpg,
settle_eugene,,Eugene Settle,"Settle, Eugene",1894,Aspendale; Moscow,"His was one of the few black families to settle in the area; parents grew up in Mississippi, came in 1899",Warehouse superintendent for Latah County Grain Growers ; farmer,Settle-E_01.jpg,https://objects.lib.uidaho.edu/lcoh/Settle-E_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/settle_eugene.html,person,https://objects.lib.uidaho.edu/lcoh/small/Settle-E_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Settle-E_01.jpg,
shirrod_emma,,Emma Christenson Shirrod,"Shirrod, Emma Christenson",1885,Rimrock; Genesee,Parents were Norwegian homesteaders in the 1870's,,Shirrod-E_01.jpg,https://objects.lib.uidaho.edu/lcoh/Shirrod-E_01_lg.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/shirrod_emma.html,person,https://objects.lib.uidaho.edu/lcoh/small/Shirrod-E_01.jpg,https://objects.lib.uidaho.edu/lcoh/small/Shirrod-E_01.jpg,
