speaker,timestamp,endtime,words,tags
Ernest Anderson,00;00;00;00,00;00;05;22,And I know he had an ideal country for that.,
Sam Schrager,00;00;05;25,00;00;08;23,"Sheehan Yeah, I just turned it on.",
Ernest Anderson,00;00;08;26,00;00;12;26,Now where are we going to start it all? What was it you said?,
Sam Schrager,00;00;12;28,00;00;23;06,What I thought we'd start with is who is talking about the work that you did when you were a teenager and what that was like?,economy
Ernest Anderson,00;00;23;08,00;01;02;15,"Well, I started getting when I was pretty young in the summertime, during the summer vacations all through. Well, from the time I was 12, I did. I plowed, you know, with Florida horses, and I'd have to lead the dairy course, you know, and we would put in a fork in it. And by and we had to do all the odds and ends, like carrying water to field lunch to the field, to the men in one particular year.",agriculture
Ernest Anderson,00;01;02;15,00;01;40;20,"But I can't remember the year when Clarence, my brother and I shuck so much grain that year before we went home. My golly, I think we put in which outdoor night in June from 9200 acres that we just had to an ant several times got us up at 230 in the morning and gave us breakfast and we went to work and chilly in the morning and we stayed there till uncle came out.",agriculture;recreation;economy
Ernest Anderson,00;01;40;22,00;02;10;26,"She he got out there about seven to do Bindoon. He'd bring us something to eat and lunch along with him. And then I think my sister brought lunch out about 10:00 and then we after we came home for dinner, we were pooped and we'd put in a day's work at noon, which is hard going in hot weather, just like it is now, maybe warmer.",economy
Ernest Anderson,00;02;10;28,00;02;36;23,"And we only could handle a bundle at a time, you know, made around shops and that was hard. But we went to bed at night, I'll tell you, you know, we we were tired, so dog tired. But after dinner we get to rest till about 4:00 and we took out coffee and listen in to our go anywhere binding.",
Ernest Anderson,00;02;36;26,00;03;16;11,"And we had lunch out there too, and we had fresh water over there and, and then we worked till 830 at night. That was, I thought, ridiculous. But the finishing of that year was the best, I think, of all we had gone to Moscow on a Saturday and they had virus underwear and shirts and things like that. And so when we went in, my dad came and got it in the car and he said, where?",health;clothing
Ernest Anderson,00;03;16;14,00;03;44;13,"And he says, You've been too good boys this summer. She says, So she gave us each $0.65 apiece that we don't have any getting fired. We had $1,000,000, but the well, it just goes to show you how good you were for all summer, you know, And but the way she said it, I thought it was kind of funny, too.",
Ernest Anderson,00;03;44;13,00;04;20;06,"You know, we we opened it. We could expect to get $5. We could buy as a good baseball or something like that. You know, And I good had first of around to get our own spending money. There was no spending money coming from home like they do now. Well, if you if you do so much, you earn so much, you That was never it never thought of you know, there was long as you were born at home, you worked not many, but at the age of 15.",
Ernest Anderson,00;04;20;06,00;04;55;14,"Then I quit school. You see, I was just too late. Be And from there on. And when I work pretty steady here and never had a daily or hardly, well I think it's I remember within three years I must have gotten only about got home went home and about three or four times in three years And that was one time at Christmas, that thing one time at Thanksgiving.",economy
Ernest Anderson,00;04;55;16,00;05;20;08,"And I may have gone home early in the fall to months. And so that's all I you get on the train, you know, at my fun and you come back same day. You wanted to but I stayed two or three days sometimes, that's all. But then all my friends have left town. I don't know how they come to leave so quick, but they didn't.",recreation
Ernest Anderson,00;05;20;10,00;06;06;06,"I never didn't know where they went to find me a lot I found and moved to Spokane and some of my Seattle and their folks left and everything. You know, I don't know what they were looking for. I don't really understand why they got occupations that they gave up and left town entirely. I've heard of the whereabouts of a few and I'm hoping now during Expo in 74, when we go out and stay a week or so with our friends and relatives and at least that long, maybe longer.",
Ernest Anderson,00;06;06;08,00;06;16;02,And I'm going to see I know a girl that you still living. She's about my age now and she'll know where they all they've all gone to.,
Sam Schrager,00;06;16;05,00;06;18;22,Who where did you go when you were working out?,
Ernest Anderson,00;06;18;22,00;06;26;06,And hardly ever my uncle. My uncle was out the Moscow in south of Moscow about three miles.,
Sam Schrager,00;06;26;12,00;06;29;01,The same guy that you got $0.65 from.,
Ernest Anderson,00;06;29;01,00;06;30;23,Yeah.,
Sam Schrager,00;06;30;26,00;06;33;05,She went back and worked for him. Yeah.,
Ernest Anderson,00;06;33;08,00;07;04;26,"I did. Because I didn't want to go any place. I didn't want to go back to school, so I stayed there, got to do what I wanted to do. The thing I designed to do, be able to have four lines and, for six or 8 hours is dry. You know, I was always happy, and we thought about money is always plenty, not good food.",
Ernest Anderson,00;07;04;28,00;07;34;09,"And I never thought about money and wages. I was there and I was doing my job. I kept the lead from the time 1917, no matter who the man was. See and run two or three plows. I pick out the horses and I made him up and telling him which one goes in the lead and which one got by the Wheelers.",economy
Ernest Anderson,00;07;34;11,00;08;00;02,"And that was all I was doing. Uncle, it makes him so happy to have such a fat on with the slow and that you never work to do it again. And that only makes one Fred you know, and form up because the other one don't compete at the poor way. So he finally turned it over to me and I eventually did all his business in the line.",economy
Ernest Anderson,00;08;00;02,00;08;28;22,"Like, interesting. When I asked about it for nine different seasons, Farm and the first year was the first year I was there. I we didn't have too long harvest but 35 days. Then mostly we got in 65 to 70 days. That's pretty good pay. That's where you get your best. Mine was in harvest, but in 1921 I think it was nine year.",agriculture
Ernest Anderson,00;08;28;22,00;09;04;13,In 1921 we had a lot of rain coming and going all the time and we went out in the middle of July that year and got the early wheat and stayed there till the middle of November. Then we pulled in and then the grain and wheat was trashed up in that. You get enough feed for hogs and and get enough seed to see it right back and it growing.,agriculture
Ernest Anderson,00;09;04;13,00;09;22;28,"You know, part of us already started sprouting there wouldn't hurt at any because you could put it in the ground and it grow and that's the way they did it. And I was here. But everything was going out of it that stopped all that big machines. The yes.",
Speaker 3,00;09;23;00,00;09;24;28,Was a very large housing foreign.,
Ernest Anderson,00;09;24;28,00;09;28;17,"Cost, $280.",
Speaker 3,00;09;28;19,00;09;31;09,Up to 80. I had to have it done.,
Ernest Anderson,00;09;31;12,00;09;50;24,"No way. I I'm sure. Yeah, that's the barn and the road here. That big red barn with a tin roof, one $280 it cost for lumber and labor outside of their own labor.",agriculture;economy
Sam Schrager,00;09;50;24,00;09;51;25,When was that built?,
Ernest Anderson,00;09;51;25,00;10;02;22,"About but 19, I'd say around. I think it was built a year later than this in 1916 or 17.",
Sam Schrager,00;10;02;24,00;10;08;10,"Well, the threshing crew that you worked on, they went around to a lot of places and threshing.",
Ernest Anderson,00;10;08;11,00;10;10;03,"Yeah, one place to the other.",
Sam Schrager,00;10;10;05,00;10;11;29,But it was your uncle's operation.,
Ernest Anderson,00;10;11;29,00;10;18;12,"Yeah, well, there was poor man company gone, Got on the plane. Threshing company?",
Ernest Anderson,00;10;18;14,00;10;20;05,Yeah.,
Sam Schrager,00;10;20;07,00;10;22;04,What did you do as roustabout?,
Ernest Anderson,00;10;22;07,00;10;50;06,You. you had to go to town. Roustabout job was to haul water. We had to barrels and do different to your cart One on four they had to have up around sack pile and the other two they cooked. You really should add water barrel too. What about on one cart for the cooks They washed down there and everything.,economy
Ernest Anderson,00;10;50;06,00;11;14;23,"A lot of them man washed up with the machine because they had a tank that hauled water to the engine. You know, a lot of washed up there. And then down there that saved me on too much water. That's only 50 gallon of water. And in a bear I was on water three, four or five barrels a day.",animals
Ernest Anderson,00;11;14;26,00;11;41;13,"And then we had a lot of sacks and stuff on top. Move weighted down. Yeah, kind of old and getting to then you had to bucket it. Sometimes I had to carry it quite a ways and pump and, but they had lots of water where we was but the shore and so on and get to the pump I have to carry it.",
Ernest Anderson,00;11;41;15,00;12;08;21,"And that delayed me. Then I had to go hunting potatoes at the farm. The fellows we we find for furnish potatoes and things like that in the mail. A lot of mail when I drive the farthest average over the team was about 12 miles to Moscow, start off about four in the morning and get into Moscow. Get in.",recreation
Ernest Anderson,00;12;08;23,00;12;32;17,"People were up those days in the morning. Meat shop was opened in the real early. He would be there and cutting meat for the day and for all the orders. And he always knew we were coming. I was coming in and sometimes get in and lock the door, let me in. But just the same I give my order and I'd go to another.",
Ernest Anderson,00;12;32;17,00;13;04;27,"Placing the bait shop was best place in a way. I always had breakfast there with him. He let me have all I wanted their coffee with him. He was a German. He was married to a Swedish woman when I got married in 1923. And he found out about it somehow. I think I saw him. And we think he made a remark that when I got married, he would make me cake.",swedish
Ernest Anderson,00;13;04;29,00;13;23;10,"And I think I left. The day that we got our marriage license, I stopped in and told him I was getting married. And I told him, when you get ready, he did too. So let him get it. That's a lot of fun. So not a marriage.",recreation
Sam Schrager,00;13;23;15,00;13;27;13,"He went around town and you. You picked everything up high, all the back out.",
Ernest Anderson,00;13;27;13,00;13;50;06,"Now, biggest trouble there was to go in lots of places, you know, the man would order this and I have to go to home and get changed clothes and bring out their laundry and. stuff like that, you know. But I did it and I did it rightly, too. I, I was well liked amongst the crew. Sometimes he liked it.",
Ernest Anderson,00;13;50;06,00;14;22;00,"Let me know. All right. Get that. So somebody that growls and I didn't I did what the best I could do for lunch every afternoon. I got I got started pretty bad that day and they used to have me done Jim Dodds, the first time the Dodgers come out with it was like a pick up. But and it's green in what they call them.",
Ernest Anderson,00;14;22;00,00;14;59;21,"I don't know. I think they used them as sort of a grocery wagon or certainly that. But anyway, he came up the hill and games were coming up the hill from one way and he come from behind me and I had a great big coffee pot, you know, big round and holding it in and driving the team in the buggy and all the lunch and stuff and a big great big band just piled up with cookies and sandwiches and stuff like that.",
Ernest Anderson,00;14;59;23,00;15;28;23,"And plenty of coffee. And he, I didn't know I got, I thought of Simon coming in. I was going to duck in me over here in between the two teams he and I got would have got there, but he didn't have any break and he died. He didn't ever expect heartbreak. So he hit the back. He tried to turn to the right, but he could have got away there.",animals
Ernest Anderson,00;15;28;25,00;15;53;26,"I don't know. He got excited. He was a Dane and he was really excited and let it happened here. Carried my buggy. And just like that. And the wheels crashed. The one wheel crashed when the wheel crashed and he went right over it and went on down to the flat on the other side. Over the other side, you know where I was going down.",
Ernest Anderson,00;15;53;26,00;16;18;06,"He he went down and he got down in the flat. He stopped and he got too excited or he could just stop. But people, those old timers, they could not. It was easy for them to learn everything come to dry and they got excited. It was just they could handle a runaway team better than they could non-mobile. But that was the case there.",
Ernest Anderson,00;16;18;08,00;16;52;23,"I didn't get hurt, except I got scarred pretty bad on my leg. Let it never come off that hot coffee. So then I had to go back and put gas just little ways by Dave Little five from here to the barn. And I took the kitchen back and and get my coffee cup. The women had a big, I don't know, they had a big reservoir along side of the, the stove, the in there, you know, heat that too.",agriculture
Ernest Anderson,00;16;52;23,00;17;20;20,"And they let the hot water in it. So it didn't take long to get coffee again now. And it was little bit late, but the men always appreciated. So then I went and the neighbor was thrashing for he he said you're going to have to have a wheel to go in to market tomorrow. I said, Yeah. And he said, I got a no buggy down there and go down, get the wheel and put it out.",
Ernest Anderson,00;17;20;21,00;17;48;02,"But I don't fit now. Obsolete yet the same. So it worked out all right. A little, not quite as big a them, but it was okay. Then I brought the all wheel in to the man. They put in new spokes and it took a week more to make that fix that wheel. That's quite a job, you know, and then put a new tire on it.",economy
Ernest Anderson,00;17;48;04,00;18;18;29,"I getting pretty bad. But he was so happy that I didn't get hurt. You know, if I had, I had killed me, would have died again. I learned to know I was a very, very nice person. He was a farmer not living too far from theirs out there in Blaine area, but pretty much eased this other way. But pretty great old time.",
Sam Schrager,00;18;19;01,00;18;25;20,"Well, do you do you remember whether or not the crews were much the same from year to year? Did they change a lot?",
Ernest Anderson,00;18;25;21,00;19;00;02,"No. During the years that I wrote about for Uncle, you see these there are a lot of logging. Men went to the woods in the wintertime, and as soon as they got spring camp, they would go down in the southern states and get job in the harvest, you know, and go around, see, And they always hit up their Moscow at about half time or about a week or so before.",recreation;economy;agriculture
Ernest Anderson,00;19;00;04,00;19;19;06,"And they get out and get a job for working hard, get a job for a farm to shock grain and he getting bored and he get some money. You know, the main thing was to get their board. They would work, you know, for less money than they got nowadays. But they wanted to get out of that woods in the summertime.",economy;agriculture
Ernest Anderson,00;19;19;06,00;19;45;14,They didn't like it. It was so hot and hard getting dangerous and everything. So they had to be there in the wintertime and they were pretty much a follow up from year to year. But there were a lot of them just like them. Some people didn't stick around very long and sometimes some of them stayed. And I've got to get two or three guys.,
Ernest Anderson,00;19;45;14,00;20;20;13,"And if they didn't want to go back to something else right away where they see, they could go into Canada, too, you know, And I right there, and even until the snow came, you know, because it the snow was dry and all you had to do was they bound it then. Now the wind road with the wind roar they don't badly and that lays there and they can't get it right in the fall they'll get frightened spring and that's what they did.",
Ernest Anderson,00;20;20;15,00;20;45;22,"But they had an awful hard time keep the steam engines from freezing up, you know, had to fire at all night and then they'd get windstorm. Who the snow would fly and then they'd have to drain the pipes and quit that different up there. But the most the time they would go somewhere else would go to the woods.",
Ernest Anderson,00;20;45;25,00;21;15;12,"They didn't like it, but they, you know, they liked to travel to see the country, but that's the way they did a lot. And then after they'd have a steak, they'd go someplace and play cards. Do Germany had to go again. They had to do that. Just drove by one hour every night after work, play poker with a ladder.",recreation;economy
Ernest Anderson,00;21;15;12,00;21;16;21,And if.,
Sam Schrager,00;21;16;23,00;21;18;23,You had enough strength left after that.,
Ernest Anderson,00;21;18;26,00;21;54;09,"I guess at every game, so many games and that door that would decide they'd go to bed. And I know one fellow didn't have due date before he quit. He didn't have hardly set it to him those last three days. Were you? Well, he said, give me a check for that. He said, so I can have something to back me myself with.",recreation
Ernest Anderson,00;21;54;12,00;22;34;01,"So I did. Bank Leahy One more and his money back that night. He had a good do it for the guys. The minute they gave him, he got his money back and then yeah, it did always work that way, though. He said he was an Irishman and he he used to drive the big wagons, the great big horses eight and 12 he had strung out with do line jerk lines, and he'd have two animal wagons where they were three.",economy
Ernest Anderson,00;22;34;03,00;23;07;21,"And this back in the south. And here comes down up one night light me and he knew they had across the river some river. I don't remember where. And the horses got all excited, not from a storm, but the lines and the and the animals back tigers and that, they got really riled up and they scared the horses, so they took off and ran away.",recreation
Ernest Anderson,00;23;07;23,00;23;33;25,"Well, he said he stayed with them, he'd been on that road, they moved by road at that time before they went into the train. You know, they in loading up in a train and go taking a long string, you know, like they used to do in. So he said, well, he didn't I didn't know what to do. When they come to cross the river, I knew I wasn't going to hit the bridge.",recreation
Ernest Anderson,00;23;33;29,00;24;01;24,"I had a big span or long string and he said I'd jump, let him go. But he said when they got into the water, it missed the bridge and went down over the bank into the water and they finally got out. But I don't remember how. But he said, I was afraid that, you know, the animals get out, the animals get out.",
Ernest Anderson,00;24;01;24,00;24;27;21,"It would be awfully bad the way I can to a pretty strong animal way. He was still there, but he was a horse trainer. He could talk to any horse after the Animal Week and he'd do just exactly what he wanted to do. He he was never hard on them, but he made he get him to understand he's talking to them.",animals
Ernest Anderson,00;24;27;21,00;24;42;00,"He said you could in the circus, you could call any noise by name, tell him what to do. And he did it. And it's he was a trainer and I wish I could have been like him.",
Sam Schrager,00;24;42;03,00;24;57;29,"Do you think that that there was much difference between guys like these guys that were just coming through as far as how hard did work is compared to guys, let's say, out on a ridge where they all got together in the neighborhood and worked? Did these guys work a real hard or hard way?",economy;culture
Ernest Anderson,00;24;57;29,00;25;29;08,"Harvesting was hard. Lots breaking. You talk about clearing land that the hardest work there is because you had to cut the brush with AX. Everything was manual labor, but and break it with many have never had it more than one horse but they'd go together with each had a horse. You get four horses or three or four horses but they had by the neighbors.",economy;animals
Ernest Anderson,00;25;29;08,00;26;01;10,"And then they'd go over there and plow for them to do the same thing, you know, break land. They didn't break too much. Every year, but enough to get by so they could get to cultivating farm land, grow something no more dumb, or were now not married when they came get married shortly after, were going to get married or some of them came over here, was married in Sweden and brought their families later after they got it, I can tell you a little story.",agriculture;swedish
Ernest Anderson,00;26;01;10,00;26;34;17,"This is kind of out of this area if you want to hear it in South Dakota, Norwegian are telling me it's set. It was about 20 miles east of Rapid City, and we came in there to that place in 54, pouring down rain you could not see to dry. I never been in a rainstorm like that, but it skied right down on you down there, plowed right out.",norway
Ernest Anderson,00;26;34;17,00;27;12;26,"You don't have it didn't look. You had 25, 30, 50 feet clearing. You know it get hung. When I went in there and checked the place and paid them and they were very broken in their Norwegian way. You talk. So I wanted to know a little bit of their livelihood, how they come to settle into place and their father was a baker in your country and he went out west to United State.",norway;economy
Ernest Anderson,00;27;12;28,00;27;53;00,"He set up several bakeries in South Dakota and way back further east east. Now, the place in Minnesota. So it was heard there was land to claim over here at a certain time been staked out. they had to do is claim it. So there was a drive to go and he took the train and it was just a flag station went and staked the land in 6000 acres or so monastic.",
Ernest Anderson,00;27;53;02,00;28;17;10,"So he goes right, send a letter to his wife to sell out and come out here. They bought it, got a farm gene, you know it's going to be Homestead. But in those days, everybody thought about getting a piece of land, get a piece of land, whether with money, but you have something to live on. And that was a main thing.",agriculture
Ernest Anderson,00;28;17;13,00;28;45;09,"Get a piece of land and that state, anything opened up. They wanted to go and get them. Well, then when she came the day she came and they stopped and got he she says, well where is the farm. Well he says, I had told you because I afraid you wouldn't come. He said it about three miles north. Street.",
Ernest Anderson,00;28;45;11,00;29;24;27,"Northwest? No, straight north, he said up there. But he said, Do you have a house? No. And everything. But they had baskets full of food and that they took along and no civilization within miles of plains. I would try and go through it. They wouldn't get out, get into any that be there at the flag station and go and he said his mother just cried her eyes out every step he took out there and drug me along.",
Ernest Anderson,00;29;24;27,00;29;51;23,"I knew just a little kid, but today at that time we were there in 54 and they had sold out. Not all that, I guess, but turned the farm over to the boy. They they added more land to it and you got a nice cattle ranch and and he said they both said they wouldn't want to look back to the old days at all.",agriculture
Ernest Anderson,00;29;51;23,00;30;06;05,"They but it was interesting to me to learn to know just how hard it really was. But here's where you start with just a scratch. And they did the same thing here. You see, they what.",
Sam Schrager,00;30;06;07,00;30;11;00,I was just going to ask you to to to tell me some about how they got by here.,
Ernest Anderson,00;30;11;00,00;30;38;09,"Well, the main thing was to go to these sawmills and they had little time in the spring. They would grab a little land or clear a little bit whenever they had a little lay off at the mill, they got a dollar a day and they never took the money home, I think by chance. And the master worked there three or four years for just for lumber.",
Ernest Anderson,00;30;38;11,00;30;53;21,"And then they tried to I know many of them went to the blues country, you know, where that is, my Palouse area and all that. And they would take in harvest and bring home a few dollars if they had 15, $20.",agriculture
Sam Schrager,00;30;53;22,00;31;01;12,But you're saying that that you wound up here because of because grandmother died.,conflict
Ernest Anderson,00;31;01;15,00;31;41;22,"Grandpa died because he had gotten off the farm a few years for that 11 down and then I lived up north of the ridge here and boys were farming down here. But after he died, I then became grandma alone, pretty lonesome. And the the in-law got good headaches. His daughter, the daughter that can do more than they say.",agriculture
Ernest Anderson,00;31;41;24,00;32;18;12,"The in-law. By that I mean the boys married and they were an outsider other than their family, which is a thing to do. Why they don't come so concerned about his relatives. They probably have on their own more. So that's pretty much a I was told workshop best. If the daughter is here rather than be the husband that is really say a son.",culture
Ernest Anderson,00;32;18;15,00;32;48;04,"And we find that to be correct too that her mother all a lot of me ever since I was pretty young I guess we understood it and she was of the opinion it would come and take care of it. Then we bought the farm, say that time and prices weren't too good. And yet this is in 42, 1942 in the rough going.",health
Ernest Anderson,00;32;48;04,00;33;16;25,"But I don't and I don't know how we got but I said I'll never buy anything new or do anything that would take the money from you. I mean, if I needed it for that, you're going to have to get your care. So I got a federal loan and took over the debt and put her clear of everything, and I assumed everything else.",health;economy
Ernest Anderson,00;33;16;28,00;33;19;29,But we made it very nicely.,
Sam Schrager,00;33;20;02,00;33;27;22,When you started down here farming in the Carlson's place? Yeah. Did you use his equipment or did you buy your own?,agriculture
Ernest Anderson,00;33;27;27,00;33;30;12,I bought my own. every time I bought my own.,
Sam Schrager,00;33;30;16,00;33;33;08,What. What did you. What did you start in like there.,
Ernest Anderson,00;33;33;08,00;34;03;24,"And I 23. Well I started with the all the equipment that I needed, I he had it there and I bought it horses and all I had to feed there in the barn and I had hay and grain about the seed farm and everything. And so I don't have any problem right now. I had to do is get out and get corn, which I did.",agriculture
Ernest Anderson,00;34;03;24,00;34;30;18,"I worked for him all summer and I made pretty good wages and that helped to pay a little bit to get me started. So I bartered with them, then work and carries grain and all. Then I went harvesting with my Uncle Ed, for which I made good money. I don't know. I guess Come Home is hard and I know I needed that.",economy;agriculture
Ernest Anderson,00;34;30;18,00;35;01;04,"And I told him, I said I would stay here for to harvest, but I said I need to make that extra money. Well, he said, well go, I'll find harvest. So that's the way that worked out. They were happy and I was too, so worked out pretty nice. But there's there's a lot of things that you have to experience, not because I didn't always the direction I wanted to go.",agriculture
Ernest Anderson,00;35;01;07,00;35;33;10,"I had to go the direction I could go in supplying our needs. One way or the other. I mean, I can say, well, I need a truck or I need a truck going by it. You have to bide your time as to when you can get to that condition and time in life that you can buy that and go on with it, because there were no such things buying tractors at that time.",
Ernest Anderson,00;35;33;12,00;36;15;08,"I think, though, I don't know what your dose is. We used to hear about the dozers coming in and such like that, that what you call big tractors and used and construction works. And I'll get at Caterpillar's that horses you know we help change the road up here. When I lived down here came up to Ridge I did one of their and drove four horses on a scraper there for a week and we donated.",
Ernest Anderson,00;36;15;09,00;36;48;20,"It wasn't the matter of getting paid. Donated people got along pretty good, but there sometimes some growling get on the out, rest them and get after them. So you get good graces pretty quick because one can do that. Get along with that. You and that was a good thing that they had that feeling because if you didn't help out the other guy, you wouldn't come back and help you.",
Ernest Anderson,00;36;48;20,00;37;01;23,"They were in trouble and they they used to have their own trash machine together. So in one company rig, which they had to live with.",
Sam Schrager,00;37;01;25,00;37;06;18,On Burt Ridge. Yeah. What kind of what kind of operation did they.,
Ernest Anderson,00;37;06;18,00;37;18;03,"They had a big steam pressure case out there. Yes. It went real good, in fact. great. Trashed everything on the raid.",
Sam Schrager,00;37;18;05,00;37;20;08,How long does that take about? Do you remember?,
Ernest Anderson,00;37;20;22,00;37;45;16,"I don't recall. I never did think of that. And this law in here. But we always bound our grain because we had more of it down the north end where my dad live. We didn't have too many acres. I think last year, that farm that he lost in a field and they got everything down below earth, right?",agriculture
Ernest Anderson,00;37;45;17,00;38;13;12,"And he said, I'm not going to stack it. So we didn't either. Otherwise we would usually have to wait. But there was so many in the north have a whole stack of grain because it in there or some didn't have over 1520 acres to try and it wasn't hard enough to move it with a crew and all that good work got in way it did later on.",agriculture;economy
Ernest Anderson,00;38;13;14,00;38;53;27,"It did later on when the younger generation started taking over from the off range of the older ones, we got to take, you know, over doing our work the way we wanted to. We wouldn't do that hard work actually. You get through faster if you get together and all. I mean, and in battle wagons in the field, everybody get out there and pay so much with ration and for the pictures and then you could change hauling It came out.",economy;conflict;agriculture
Ernest Anderson,00;38;53;27,00;39;29;00,"Just blend it, you know, it's fun to get at 4:00 in the morning at 330 to feed the horses and get ready and go and eat a big breakfast and go to work. We used to like it, like it in your blood. You really you can't wait one year. And I wish each. Come on. They just feel that you had to go enjoyed it because that harvest year for the farmer harvest time for the farmer.",recreation;economy;agriculture
Sam Schrager,00;39;29;03,00;39;34;07,"So it was really a good time, you know, It was a real hard time for work.",economy
Ernest Anderson,00;39;34;09,00;40;07;08,"Yeah, a lot of hard work. I like a good I got it down today. We have I woke up at 3:00, we went to bed early. I knew we'd do it and we'll have a 3:00 and then and about four. She woke up. She said, You awake? And I said, Yeah, she already knows family. I guess you can tell that people are sleeping when you wake up.",economy;culture
Ernest Anderson,00;40;07;11,00;40;33;25,"Well, I said, I'm not going to stay here. I think go and get out of bed for a while. And I did. Why did you close the door and wind it? I said, I'm so warm. I'm just sweat and all that. And just then pair up again, you know? But I had to make covers. I kicked them all and I just laid right there and feel pretty good and I go back to sleep.",
Ernest Anderson,00;40;33;26,00;41;05;08,"I went, Well, Bob, the window, you know, not doors. Everything again came back and then we get start. And what she says now is that in the day there was cool now we get out, have some breakfast and go to work And so we did So I woke up Claire knew 12 noon. I had coffee though in between then I heard the garden and I put a die on plant.",economy;agriculture
Ernest Anderson,00;41;05;08,00;41;33;07,"But it, I got my, I got it that loose that the not going to be nice plant potatoes do that tomorrow I going to put them in rows six foot three feet you know square area three feet that works good. Yeah I know she's saying his only thing.",
Sam Schrager,00;41;33;10,00;41;51;12,"Is just those didn't work, I just noticed it myself. Listen, let me ask you about when the depression hit and took. When a depression hit. What? What happened? There was crop prices and your whole layout.",economy;hardship;agriculture
Ernest Anderson,00;41;51;14,00;42;37;24,"Well, I tell you, everything was on a standstill. I didn't have any money. The banks closed. You know, Roosevelt, when he got any closed the doors. you think? Anyway, money was just about the last thing he thought of. But being used to working together as friends worked together so much. Yeah, I remember that. Well. Well, anyway, being.",
Sam Schrager,00;42;37;24,00;42;38;27,Used to working together.,
Ernest Anderson,00;42;39;04,00;43;09;11,"Yeah. So we got closer knitted at that time. You know, it changed our work. There was no money exchanged. Time didn't mean anything. I mean, if we could. I worked a week at my room and it was fine, and he'd come back sometime, whether you did it. But you was there a long time that didn't make any difference.",economy
Ernest Anderson,00;43;09;13,00;43;13;24,Everything worked out fine Irish to you at all.,ireland
Sam Schrager,00;43;13;26,00;43;16;26,You think that people got closer during the Depression.,hardship
Ernest Anderson,00;43;16;29,00;43;48;05,"But just as soon as a war hit and money started to be big, more money, you know. You know, I had too bad way to broke. Now, you know, you got to go see your neighbor very seldom. You see more times you see and more tied down danger. Any other time we go to a neighbor's here quite a bit, but is where we didn't because we didn't get out.",conflict
Ernest Anderson,00;43;48;08,00;44;14;02,"It was this ice and snow and that normally we did at that time. That was really rough go. And I tell you that the farmer is a then they knew how to take care of the situation themselves, their piece of land, and they had garden and had all the meat and stuff to eat they could ever think of.",health;agriculture
Ernest Anderson,00;44;14;02,00;44;43;17,"You know, we still put up so much stuff of our own that carried it from, say, we did the poetry in November or December. We had food to carry. I'm glad to meet you that sometimes we had a heck of a time out, eat some of that. We could eat the other, but it wasn't hard to to even then, you know, to get make and give a handout.",
Ernest Anderson,00;44;43;17,00;45;14;05,"Somebody like you, £200 hog and a half a one year to my neighbor and not thinking about it. He said, I maybe I can work it out sometime. I said, whether you do or don't know doesn't make any difference. I said, We have it to give to you if I sold one thing anyway. So I said, it's you'll get more out of it and we all be happy lived together that way.",economy
